车型,城市,上牌量,级别,指导价(万元),能源类型,price_mean_auto,cluster
卡罗拉锐放,湛江,174,SUV,12.98-18.48,燃油车,15.73,0
五菱缤果,新乡,173,小型车,5.68-8.88,燃油车,7.28,0
海豹05 DM-i,济宁,20,紧凑型车,7.98-10.38,新能源,9.18,1
MG5,九江,11,紧凑型车,6.79-9.99,燃油车,8.39,0
奥迪A6L,许昌,31,中大型车,42.79-65.68,燃油车,54.235,0
小鹏MONA M03,玉溪,19,紧凑型车,11.98-15.58,新能源,13.780000000000001,1
红旗H5,肇庆,15,中型车,15.98-22.58,燃油车,19.28,0
帝豪,银川,58,紧凑型车,6.29-14.98,燃油车,10.635,0
奥迪A6L,盐城,44,中大型车,42.79-65.68,燃油车,54.235,0
五菱之光新能源,晋中,16,MPV,4.78-5.08,新能源,4.93,1
捷途旅行者,哈尔滨,116,SUV,13.99-23.99,燃油车,18.99,0
皓瀚,铜陵,17,SUV,8.99-13.69,燃油车,11.34,0
昂科威Plus,西宁,62,SUV,22.99-25.99,燃油车,24.49,0
朗逸,资阳,20,紧凑型车,8.00-15.19,燃油车,11.594999999999999,0
奥迪Q5 e-tron,北京,16,SUV,29.85-43.25,燃油车,36.55,0
途岳,日照,59,SUV,12.59-21.66,燃油车,17.125,0
海豹,上海,49,中型车,14.98-24.98,新能源,19.98,1
速腾,黄石,14,紧凑型车,12.79-17.29,燃油车,15.04,0
腾势D9,济宁,41,MPV,33.98-66.00,新能源,49.989999999999995,1
星越L,凉山,19,SUV,13.72-17.97,燃油车,15.844999999999999,0
荣威RX5,昆明,22,SUV,9.99-15.59,燃油车,12.79,0
ID.4 X,滨州,37,SUV,15.99-28.34,燃油车,22.165,0
瑞虎3x,晋城,17,SUV,4.99-8.49,燃油车,6.74,0
卡罗拉锐放,杭州,461,SUV,12.98-18.48,燃油车,15.73,0
深蓝S09,长沙,40,SUV,23.99-30.99,新能源,27.49,1
捷途大圣,赣州,20,SUV,9.39-13.68,燃油车,11.535,0
银河E5,江门,53,SUV,11.28-14.88,燃油车,13.08,0
长安启源A07,珠海,12,中大型车,11.99-17.69,燃油车,14.84,0
小米SU7 Ultra,南京,72,中大型车,52.99-81.49,新能源,67.24,1
标致408,北京,17,紧凑型车,10.57-12.57,燃油车,11.57,0
银河E5,晋中,65,SUV,11.28-14.88,燃油车,13.08,0
MG5,天津,612,紧凑型车,6.79-9.99,燃油车,8.39,0
缤越,九江,37,SUV,6.68-10.38,燃油车,8.530000000000001,0
极氪7X,天津,60,SUV,22.99-26.99,新能源,24.99,1
海豹06新能源,马鞍山,19,中型车,9.98-13.98,新能源,11.98,1
星瑞,汉中,15,紧凑型车,9.97-14.57,燃油车,12.27,0
夏,廊坊,16,MPV,24.98-30.98,燃油车,27.98,0
瑞虎8 PLUS,延边,16,SUV,10.99-16.29,燃油车,13.64,0
博越L,通辽,26,SUV,9.99-14.97,燃油车,12.48,0
宝马3系,黔西南,12,中型车,29.99-39.99,燃油车,34.99,0
亚洲龙,濮阳,18,中型车,17.88-27.98,燃油车,22.93,0
天逸 C5 AIRCROSS,潍坊,11,SUV,14.97-18.27,燃油车,16.62,0
五菱宏光新能源,绵阳,15,MPV,6.88-7.38,新能源,7.13,1
海豹07 DM-i,无锡,30,中型车,13.98-19.58,新能源,16.78,1
宋PLUS新能源,黔东南,37,SUV,13.58-18.08,新能源,15.829999999999998,1
蔚来EC6,汕头,13,SUV,35.80-41.60,新能源,38.7,1
奥迪Q6,上海,60,SUV,46.76-61.56,燃油车,54.16,0
汉兰达,襄阳,17,SUV,24.98-34.88,新能源,29.93,1
海豹06新能源,日照,21,中型车,9.98-13.98,新能源,11.98,1
奔驰A级,厦门,14,紧凑型车,25.13-27.57,燃油车,26.35,0
别克GL8,宿迁,20,MPV,23.29-47.39,燃油车,35.34,0
奔驰GLC,乌鲁木齐,90,SUV,42.78-53.13,燃油车,47.955,0
零跑C10,荆门,12,SUV,12.28-16.88,新能源,14.579999999999998,1
奔驰E级,唐山,47,中大型车,44.72-59.98,燃油车,52.349999999999994,0
海豹05 DM-i,宿迁,16,紧凑型车,7.98-10.38,新能源,9.18,1
奥迪Q5L,铁岭,12,SUV,34.98-48.88,燃油车,41.93,0
魏牌 高山,邯郸,13,MPV,30.98-40.58,燃油车,35.78,0
海狮05 EV,潮州,15,SUV,11.78-13.78,新能源,12.78,1
凯美瑞,咸宁,18,中型车,17.18-25.98,燃油车,21.58,0
Cayenne,杭州,78,SUV,91.80-250.80,燃油车,171.3,0
宋PLUS新能源,黄冈,68,SUV,13.58-18.08,新能源,15.829999999999998,1
唐新能源,呼和浩特,49,SUV,17.98-26.98,新能源,22.48,1
宏光MINIEV,兰州,69,微型车,3.28-9.99,新能源,6.635,1
帝豪,信阳,12,紧凑型车,6.29-14.98,燃油车,10.635,0
秦L,镇江,38,中型车,9.98-15.38,新能源,12.68,1
速腾,汕头,20,紧凑型车,12.79-17.29,燃油车,15.04,0
长安CS75 PLUS,阿勒泰,12,SUV,11.39-14.99,燃油车,13.190000000000001,0
博越,南阳,28,SUV,9.28-12.58,燃油车,10.93,0
魏牌 高山,太原,84,MPV,30.98-40.58,燃油车,35.78,0
Model Y,盐城,116,SUV,26.35-31.35,新能源,28.85,1
红旗HS5,遵义,14,SUV,18.38-24.98,燃油车,21.68,0
捷途旅行者,贵阳,92,SUV,13.99-23.99,燃油车,18.99,0
昂科威Plus,嘉兴,26,SUV,22.99-25.99,燃油车,24.49,0
秦L,开封,83,中型车,9.98-15.38,新能源,12.68,1
五菱之光新能源,哈尔滨,42,MPV,4.78-5.08,新能源,4.93,1
MG5,青岛,36,紧凑型车,6.79-9.99,燃油车,8.39,0
极狐考拉,徐州,12,MPV,11.98-16.98,燃油车,14.48,0
瑞虎8L,佛山,37,SUV,12.99-17.49,燃油车,15.239999999999998,0
捷途山海L9,邯郸,14,SUV,16.49-24.29,燃油车,20.39,0
凡尔赛C5 X,天津,13,中型车,9.97-18.67,燃油车,14.32,0
奔驰CLE,郑州,14,跑车,45.76-59.63,燃油车,52.695,0
问界M7,淮安,23,SUV,24.98-32.98,新能源,28.979999999999997,1
蔚来ES6,西安,231,SUV,33.80-39.60,新能源,36.7,1
本田HR-V,佛山,17,SUV,15.99-22.89,燃油车,19.44,0
传祺GS4,唐山,35,SUV,11.58-12.68,燃油车,12.129999999999999,0
北京越野BJ40增程,太原,39,SUV,17.98-29.98,新能源,23.98,1
海豹06新能源,平顶山,37,中型车,9.98-13.98,新能源,11.98,1
库斯途,新乡,11,MPV,16.98-22.08,燃油车,19.53,0
长安CS75 PLUS,沈阳,110,SUV,11.39-14.99,燃油车,13.190000000000001,0
银河E5,乌鲁木齐,52,SUV,11.28-14.88,燃油车,13.08,0
海豹06新能源,昌吉,29,中型车,9.98-13.98,新能源,11.98,1
宋Pro新能源,吉林,38,SUV,10.28-14.28,新能源,12.28,1
帕萨特,毕节,66,中型车,16.45-23.99,燃油车,20.22,0
宋Pro新能源,许昌,50,SUV,10.28-14.28,新能源,12.28,1
奔驰E级,内江,12,中大型车,44.72-59.98,燃油车,52.349999999999994,0
深蓝SL03,徐州,12,中型车,11.99-20.99,新能源,16.49,1
博越L,嘉兴,63,SUV,9.99-14.97,燃油车,12.48,0
理想L6,大庆,69,SUV,24.98-27.98,新能源,26.48,1
瑞虎8,雅安,13,SUV,9.78-16.19,燃油车,12.985,0
五菱缤果,秦皇岛,30,小型车,5.68-8.88,燃油车,7.28,0
RAV4荣放,枣庄,30,SUV,16.98-26.38,燃油车,21.68,0
零跑C01,成都,15,中大型车,13.68-20.88,新能源,17.28,1
Panamera,金华,11,大型车,99.80-247.60,燃油车,173.7,0
银河L6,聊城,33,紧凑型车,8.28-14.98,燃油车,11.629999999999999,0
五菱缤果,黔南,17,小型车,5.68-8.88,燃油车,7.28,0
海豹06GT,遵义,35,中型车,13.68-18.68,新能源,16.18,1
银河L6,淮南,14,紧凑型车,8.28-14.98,燃油车,11.629999999999999,0
博越L,济南,76,SUV,9.99-14.97,燃油车,12.48,0
卡罗拉,阿克苏,11,紧凑型车,11.68-15.58,燃油车,13.629999999999999,0
领睿,大连,11,SUV,9.88-16.55,燃油车,13.215,0
传祺GS8,青岛,16,SUV,15.98-24.68,燃油车,20.33,0
标致408,合肥,12,紧凑型车,10.57-12.57,燃油车,11.57,0
海豚,淮南,17,小型车,9.98-12.98,新能源,11.48,1
博越L,眉山,13,SUV,9.99-14.97,燃油车,12.48,0
汉L,汕头,16,中大型车,20.98-27.98,新能源,24.48,1
豹5,济南,60,SUV,23.98-32.98,燃油车,28.479999999999997,0
坦克400新能源,杭州,51,SUV,27.98-28.98,新能源,28.48,1
海鸥,攀枝花,16,小型车,6.98-8.58,新能源,7.78,1
星愿,运城,87,小型车,6.88-9.78,燃油车,8.33,0
坦克700新能源,兰州,12,SUV,42.80-70.00,新能源,56.4,1
银河L6,固原,20,紧凑型车,8.28-14.98,燃油车,11.629999999999999,0
理想L8,中山,47,SUV,32.18-37.98,新能源,35.08,1
秦PLUS,银川,142,紧凑型车,7.98-17.98,新能源,12.98,1
腾势N9,潍坊,17,SUV,38.98-44.98,新能源,41.98,1
宏光MINIEV,巴彦淖尔,46,微型车,3.28-9.99,新能源,6.635,1
卡罗拉锐放,苏州,256,SUV,12.98-18.48,燃油车,15.73,0
埃尔法,西安,26,MPV,89.90-92.90,燃油车,91.4,0
北京BJ40,西宁,13,SUV,13.98-26.99,燃油车,20.485,0
揽胜运动版,天津,17,SUV,95.00-243.80,燃油车,169.4,0
银河星舰7 EM-i,昆明,65,SUV,10.38-13.68,燃油车,12.030000000000001,0
QQ冰淇淋,徐州,11,微型车,2.99-5.69,燃油车,4.34,0
帝豪,益阳,16,紧凑型车,6.29-14.98,燃油车,10.635,0
宝马3系,潮州,15,中型车,29.99-39.99,燃油车,34.99,0
MG ES5,岳阳,15,SUV,11.69-14.69,燃油车,13.19,0
蔚来ET5T,成都,278,中型车,29.80-35.60,新能源,32.7,1
兰德酷路泽(进口),惠州,19,SUV,0.00-0.00,燃油车,0.0,0
领克03,临沂,18,紧凑型车,12.78-42.03,燃油车,27.405,0
奔腾B70,南京,15,中型车,9.88-14.49,燃油车,12.185,0
海豹06GT,马鞍山,15,中型车,13.68-18.68,新能源,16.18,1
宝马X1,西安,55,SUV,28.89-34.99,燃油车,31.94,0
理想L8,汕头,34,SUV,32.18-37.98,新能源,35.08,1
牧马人,北京,23,SUV,45.99-54.19,燃油车,50.09,0
荣威i5,芜湖,12,紧凑型车,6.89-9.09,燃油车,7.99,0
长安启源A07,潍坊,31,中大型车,11.99-17.69,燃油车,14.84,0
五菱之光新能源,昆明,20,MPV,4.78-5.08,新能源,4.93,1
宝马i3,邢台,15,中型车,35.39-41.39,燃油车,38.39,0
电动MINI COOPER,长沙,12,小型车,20.98-25.98,新能源,23.48,1
宏光MINIEV,黔东南,45,微型车,3.28-9.99,新能源,6.635,1
汉,哈尔滨,25,中大型车,16.58-25.98,新能源,21.28,1
银河L6,延边,11,紧凑型车,8.28-14.98,燃油车,11.629999999999999,0
Model Y,潮州,24,SUV,26.35-31.35,新能源,28.85,1
元UP,芜湖,45,SUV,9.68-11.98,新能源,10.83,1
海狮05 DM-i,廊坊,16,SUV,10.28-14.28,新能源,12.28,1
T-ROC探歌,保定,27,SUV,15.89-17.87,燃油车,16.880000000000003,0
英仕派,上海,19,中型车,18.28-22.98,燃油车,20.630000000000003,0
雷克萨斯RX,南通,13,SUV,38.00-61.90,燃油车,49.95,0
哈弗大狗,张家界,12,SUV,11.99-16.79,燃油车,14.39,0
问界M8,肇庆,18,SUV,35.98-44.98,新能源,40.48,1
思域,河源,18,紧凑型车,12.99-18.79,燃油车,15.89,0
雷凌,天津,161,紧凑型车,11.38-14.88,燃油车,13.13,0
零跑C11,成都,173,SUV,14.88-20.98,新能源,17.93,1
宏光MINIEV,天水,21,微型车,3.28-9.99,新能源,6.635,1
豹8,上海,26,SUV,37.98-42.38,燃油车,40.18,0
奔驰A级,台州,18,紧凑型车,25.13-27.57,燃油车,26.35,0
奥迪Q3,兰州,32,SUV,25.18-29.68,燃油车,27.43,0
长安启源Q07,南昌,36,SUV,12.98-17.18,燃油车,15.08,0
问界M8,沧州,45,SUV,35.98-44.98,新能源,40.48,1
别克GL8新能源,宿迁,29,MPV,24.99-41.99,新能源,33.49,1
皓影,邯郸,31,SUV,18.59-26.39,燃油车,22.490000000000002,0
君威,周口,32,中型车,15.98-17.58,燃油车,16.78,0
奔驰C级,景德镇,15,中型车,33.48-38.06,燃油车,35.769999999999996,0
唐L,菏泽,13,SUV,22.98-28.98,新能源,25.98,1
欧诺S,喀什,14,MPV,4.69-5.44,燃油车,5.065,0
汉,鄂尔多斯,72,中大型车,16.58-25.98,新能源,21.28,1
奔驰A级AMG,上海,17,紧凑型车,41.13-41.66,燃油车,41.394999999999996,0
汉L,深圳,349,中大型车,20.98-27.98,新能源,24.48,1
深蓝L07,中山,11,中型车,15.19-17.39,新能源,16.29,1
哈弗二代大狗,佳木斯,18,SUV,13.58-15.68,燃油车,14.629999999999999,0
五菱荣光S,吕梁,23,MPV,4.09-4.76,燃油车,4.425,0
瑞虎8 PRO,海口,25,SUV,11.99-16.69,燃油车,14.34,0
传祺GS8,盘锦,12,SUV,15.98-24.68,燃油车,20.33,0
风云T9,呼和浩特,33,SUV,12.99-19.39,燃油车,16.19,0
小蚂蚁,吕梁,21,微型车,5.49-7.69,燃油车,6.59,0
宋L DM-i,巴彦淖尔,23,SUV,13.58-17.58,新能源,15.579999999999998,1
君威,南通,55,中型车,15.98-17.58,燃油车,16.78,0
奔腾NAT,珠海,11,MPV,13.98-16.48,燃油车,15.23,0
捷达VS5,抚顺,28,SUV,8.79-12.19,燃油车,10.489999999999998,0
日产N7,佛山,39,中大型车,11.99-14.99,燃油车,13.49,0
宝马X3,镇江,18,SUV,34.99-48.69,燃油车,41.84,0
坦克300新能源,石家庄,40,SUV,24.98-26.98,新能源,25.98,1
日产N7,大连,28,中大型车,11.99-14.99,燃油车,13.49,0
奔驰A级,沈阳,15,紧凑型车,25.13-27.57,燃油车,26.35,0
秦L,阜阳,91,中型车,9.98-15.38,新能源,12.68,1
凯美瑞,孝感,17,中型车,17.18-25.98,燃油车,21.58,0
smart精灵#1,兰州,13,SUV,15.49-28.49,燃油车,21.99,0
五菱宏光S,大同,17,MPV,0.00-0.00,燃油车,0.0,0
长安启源A07,曲靖,15,中大型车,11.99-17.69,燃油车,14.84,0
天籁,宁波,23,中型车,17.98-23.98,燃油车,20.98,0
锐界,广州,48,SUV,22.68-30.98,燃油车,26.83,0
银河星舰7 EM-i,漯河,14,SUV,10.38-13.68,燃油车,12.030000000000001,0
艾瑞泽5e,池州,15,紧凑型车,0.00-0.00,燃油车,0.0,0
宝马3系,岳阳,39,中型车,29.99-39.99,燃油车,34.99,0
哈弗枭龙MAX,泉州,24,SUV,13.18-17.98,燃油车,15.58,0
红旗HS3 PHEV,德州,18,SUV,15.98-15.98,新能源,15.98,1
宝马3系,九江,48,中型车,29.99-39.99,燃油车,34.99,0
瑞虎8 PRO,中山,44,SUV,11.99-16.69,燃油车,14.34,0
宝马3系,天津,114,中型车,29.99-39.99,燃油车,34.99,0
帝豪,鞍山,46,紧凑型车,6.29-14.98,燃油车,10.635,0
五菱荣光,曲靖,24,MPV,5.09-5.76,燃油车,5.425,0
传祺GS3,柳州,14,SUV,8.58-11.18,燃油车,9.879999999999999,0
赛那SIENNA,海口,36,MPV,29.98-41.18,燃油车,35.58,0
秦L,西宁,45,中型车,9.98-15.38,新能源,12.68,1
瑞风M3,合肥,30,MPV,6.58-12.79,燃油车,9.684999999999999,0
捷达VA3,济南,23,紧凑型车,6.58-9.48,燃油车,8.030000000000001,0
昊铂HT,北京,26,SUV,21.39-32.99,燃油车,27.19,0
迈腾,玉溪,18,中型车,17.49-24.69,燃油车,21.09,0
奔驰GLE,太原,18,SUV,69.98-88.98,燃油车,79.48,0
博越,宁波,24,SUV,9.28-12.58,燃油车,10.93,0
坦克500新能源,呼伦贝尔,11,SUV,33.50-36.38,新能源,34.94,1
威兰达,河源,14,SUV,17.38-26.48,燃油车,21.93,0
小鹏G9,无锡,54,SUV,24.88-35.99,新能源,30.435000000000002,1
传祺M8,榆林,42,MPV,17.98-34.28,燃油车,26.130000000000003,0
传祺M6,菏泽,17,MPV,11.98-15.98,燃油车,13.98,0
比亚迪e2,宁波,89,紧凑型车,8.98-14.78,新能源,11.879999999999999,1
红旗H5,邢台,59,中型车,15.98-22.58,燃油车,19.28,0
威兰达,南充,14,SUV,17.38-26.48,燃油车,21.93,0
宝马3系,德州,13,中型车,29.99-39.99,燃油车,34.99,0
阿维塔06,青岛,43,中型车,20.99-27.99,新能源,24.49,1
悦意03,通辽,15,SUV,7.98-12.29,燃油车,10.135,0
铂智3X,无锡,70,SUV,10.98-15.98,燃油车,13.48,0
T-ROC探歌,银川,21,SUV,15.89-17.87,燃油车,16.880000000000003,0
别克GL8新能源,大同,23,MPV,24.99-41.99,新能源,33.49,1
极氪007GT,嘉兴,94,中型车,20.29-26.29,新能源,23.29,1
坦克300新能源,东莞,15,SUV,24.98-26.98,新能源,25.98,1
雅阁,沈阳,186,中型车,17.98-23.88,燃油车,20.93,0
零跑B10,泉州,70,SUV,9.98-14.98,新能源,12.48,1
长安Lumin,包头,17,微型车,3.79-6.59,燃油车,5.1899999999999995,0
君威,菏泽,38,中型车,15.98-17.58,燃油车,16.78,0
捷途旅行者,沧州,38,SUV,13.99-23.99,燃油车,18.99,0
小米SU7,天津,328,中大型车,21.59-29.99,新能源,25.79,1
元UP,湘潭,23,SUV,9.68-11.98,新能源,10.83,1
小鹏G6,太原,16,SUV,17.68-27.69,新能源,22.685000000000002,1
豹5,南京,41,SUV,23.98-32.98,燃油车,28.479999999999997,0
别克GL8新能源,青岛,148,MPV,24.99-41.99,新能源,33.49,1
吉利ICON,鄂尔多斯,12,SUV,9.69-12.99,燃油车,11.34,0
长安启源Q07,赣州,23,SUV,12.98-17.18,燃油车,15.08,0
北京X7,成都,80,SUV,11.99-13.99,燃油车,12.99,0
格瑞维亚,太原,83,MPV,29.98-41.68,燃油车,35.83,0
迈腾,铜仁,32,中型车,17.49-24.69,燃油车,21.09,0
小蚂蚁,台州,11,微型车,5.49-7.69,燃油车,6.59,0
秦L,宜昌,65,中型车,9.98-15.38,新能源,12.68,1
奔驰GLB,潍坊,26,SUV,31.19-36.79,燃油车,33.99,0
奇瑞iCAR V23,邯郸,18,SUV,9.98-14.98,燃油车,12.48,0
哈弗H6,塔城,16,SUV,9.89-14.69,燃油车,12.29,0
宋PLUS新能源,潮州,30,SUV,13.58-18.08,新能源,15.829999999999998,1
皓影,柳州,23,SUV,18.59-26.39,燃油车,22.490000000000002,0
北京BJ30,达州,18,SUV,9.99-13.69,燃油车,11.84,0
锋兰达,株洲,45,SUV,12.58-18.48,燃油车,15.530000000000001,0
瑞虎8 PRO,连云港,14,SUV,11.99-16.69,燃油车,14.34,0
轩逸,吕梁,13,紧凑型车,10.86-17.49,燃油车,14.174999999999999,0
瑞虎8 PRO,黄冈,11,SUV,11.99-16.69,燃油车,14.34,0
理想MEGA,苏州,14,MPV,52.98-55.98,新能源,54.48,1
长安启源A07,盐城,22,中大型车,11.99-17.69,燃油车,14.84,0
朗逸,无锡,184,紧凑型车,8.00-15.19,燃油车,11.594999999999999,0
皇冠陆放,河源,17,SUV,27.78-35.28,燃油车,31.53,0
宝马5系(进口),长沙,16,中大型车,43.99-52.59,燃油车,48.290000000000006,0
帕萨特,榆林,60,中型车,16.45-23.99,燃油车,20.22,0
极狐 阿尔法T5(ARCFOX αT5),南昌,11,SUV,11.98-19.98,燃油车,15.98,0
五菱宏光S,阳泉,17,MPV,0.00-0.00,燃油车,0.0,0
五菱缤果,昆明,173,小型车,5.68-8.88,燃油车,7.28,0
豹5,西安,202,SUV,23.98-32.98,燃油车,28.479999999999997,0
Model Y,乌鲁木齐,250,SUV,26.35-31.35,新能源,28.85,1
理想L9,大连,44,SUV,40.98-43.98,新能源,42.48,1
逍客,徐州,14,SUV,12.59-17.49,燃油车,15.04,0
AION Y,长沙,59,SUV,9.98-14.58,新能源,12.280000000000001,1
五菱宏光新能源,哈尔滨,33,MPV,6.88-7.38,新能源,7.13,1
深蓝S07,衡水,15,SUV,14.99-20.79,新能源,17.89,1
宋PLUS新能源,佛山,335,SUV,13.58-18.08,新能源,15.829999999999998,1
亚洲龙,海口,160,中型车,17.88-27.98,燃油车,22.93,0
小鹏P7+,重庆,195,中大型车,18.68-20.88,新能源,19.78,1
QQ冰淇淋,巴彦淖尔,13,微型车,2.99-5.69,燃油车,4.34,0
吉利几何A,温州,26,紧凑型车,14.38-20.78,燃油车,17.580000000000002,0
轩逸,金华,94,紧凑型车,10.86-17.49,燃油车,14.174999999999999,0
日产N7,新乡,19,中大型车,11.99-14.99,燃油车,13.49,0
秦PLUS,恩施,27,紧凑型车,7.98-17.98,新能源,12.98,1
银河L6,厦门,37,紧凑型车,8.28-14.98,燃油车,11.629999999999999,0
途观L,杭州,375,SUV,18.68-26.68,燃油车,22.68,0
元PLUS,上海,392,SUV,11.58-14.78,新能源,13.18,1
捷途X90,宜春,12,SUV,13.99-17.29,燃油车,15.64,0
理想L6,连云港,38,SUV,24.98-27.98,新能源,26.48,1
银河L6,酒泉,13,紧凑型车,8.28-14.98,燃油车,11.629999999999999,0
途岳,德阳,21,SUV,12.59-21.66,燃油车,17.125,0
长安启源Q07,南京,56,SUV,12.98-17.18,燃油车,15.08,0
北京越野BJ40增程,唐山,18,SUV,17.98-29.98,新能源,23.98,1
深蓝S05,滁州,13,SUV,11.99-14.99,新能源,13.49,1
卡罗拉锐放,韶关,36,SUV,12.98-18.48,燃油车,15.73,0
途昂,葫芦岛,13,SUV,24.90-38.90,燃油车,31.9,0
奥迪A4L,三明,12,中型车,28.98-40.08,燃油车,34.53,0
昂科威S,保定,15,SUV,19.69-22.29,燃油车,20.990000000000002,0
魏牌 蓝山,东营,22,SUV,27.38-32.68,燃油车,30.03,0
长安欧尚X5 PLUS,沧州,43,SUV,9.19-11.49,燃油车,10.34,0
奔驰E级新能源,长沙,14,中大型车,52.19-53.86,新能源,53.025,1
锋兰达,沧州,26,SUV,12.58-18.48,燃油车,15.530000000000001,0
五菱缤果,哈尔滨,73,小型车,5.68-8.88,燃油车,7.28,0
银河E5,金华,62,SUV,11.28-14.88,燃油车,13.08,0
威兰达,贵港,18,SUV,17.38-26.48,燃油车,21.93,0
极氪7X,无锡,103,SUV,22.99-26.99,新能源,24.99,1
威兰达,苏州,91,SUV,17.38-26.48,燃油车,21.93,0
星途揽月,成都,14,SUV,19.39-23.89,燃油车,21.64,0
唐L,保定,26,SUV,22.98-28.98,新能源,25.98,1
宝马5系,西宁,20,中大型车,43.99-52.59,燃油车,48.290000000000006,0
腾势D9,盘锦,20,MPV,33.98-66.00,新能源,49.989999999999995,1
汉L,临沂,19,中大型车,20.98-27.98,新能源,24.48,1
五菱宏光新能源,榆林,17,MPV,6.88-7.38,新能源,7.13,1
皓瀚,西宁,15,SUV,8.99-13.69,燃油车,11.34,0
北京BJ30,郑州,17,SUV,9.99-13.69,燃油车,11.84,0
豹5,上海,60,SUV,23.98-32.98,燃油车,28.479999999999997,0
红旗E-QM5,呼和浩特,59,中型车,12.18-23.98,燃油车,18.08,0
深蓝L07,海口,13,中型车,15.19-17.39,新能源,16.29,1
坦克500新能源,武汉,89,SUV,33.50-36.38,新能源,34.94,1
别克GL8新能源,晋中,13,MPV,24.99-41.99,新能源,33.49,1
途岳,衡阳,29,SUV,12.59-21.66,燃油车,17.125,0
瑞虎5x,成都,28,SUV,5.99-9.99,燃油车,7.99,0
汉L,邵阳,14,中大型车,20.98-27.98,新能源,24.48,1
亚洲龙,临沂,94,中型车,17.88-27.98,燃油车,22.93,0
探岳,乌兰察布,12,SUV,19.89-25.99,燃油车,22.939999999999998,0
零跑C10,安庆,12,SUV,12.28-16.88,新能源,14.579999999999998,1
奥迪A4L,日照,19,中型车,28.98-40.08,燃油车,34.53,0
传祺E8,宁波,24,MPV,16.68-23.58,燃油车,20.13,0
红旗E-QM5,烟台,25,中型车,12.18-23.98,燃油车,18.08,0
大通G50,上海,19,MPV,8.68-14.98,燃油车,11.83,0
坦克500新能源,太原,54,SUV,33.50-36.38,新能源,34.94,1
亚洲龙,商丘,45,中型车,17.88-27.98,燃油车,22.93,0
长安CS75 PLUS,滁州,18,SUV,11.39-14.99,燃油车,13.190000000000001,0
宝马5系,梅州,16,中大型车,43.99-52.59,燃油车,48.290000000000006,0
MG5,晋城,35,紧凑型车,6.79-9.99,燃油车,8.39,0
轩逸,大庆,74,紧凑型车,10.86-17.49,燃油车,14.174999999999999,0
星途瑶光,芜湖,52,SUV,14.98-20.68,燃油车,17.83,0
艾瑞泽8,广元,11,紧凑型车,9.99-14.89,燃油车,12.440000000000001,0
深蓝G318,佛山,11,SUV,17.59-31.80,新能源,24.695,1
皓影,牡丹江,42,SUV,18.59-26.39,燃油车,22.490000000000002,0
海狮05 DM-i,淄博,15,SUV,10.28-14.28,新能源,12.28,1
北京BJ30,东莞,33,SUV,9.99-13.69,燃油车,11.84,0
奔驰C级,德阳,20,中型车,33.48-38.06,燃油车,35.769999999999996,0
海鸥,贺州,35,小型车,6.98-8.58,新能源,7.78,1
奥迪Q5L,日照,12,SUV,34.98-48.88,燃油车,41.93,0
熊猫,玉溪,61,微型车,2.99-5.39,燃油车,4.1899999999999995,0
缤越,酒泉,14,SUV,6.68-10.38,燃油车,8.530000000000001,0
Model Y,滨州,30,SUV,26.35-31.35,新能源,28.85,1
岚图梦想家,洛阳,15,MPV,32.99-63.99,新能源,48.49,1
捷途旅行者,南宁,31,SUV,13.99-23.99,燃油车,18.99,0
探岳,衡水,19,SUV,19.89-25.99,燃油车,22.939999999999998,0
长安CS75,北京,14,SUV,10.29-11.99,燃油车,11.14,0
途昂,郑州,45,SUV,24.90-38.90,燃油车,31.9,0
汉兰达,金华,30,SUV,24.98-34.88,新能源,29.93,1
问界M8,烟台,42,SUV,35.98-44.98,新能源,40.48,1
海狮05 EV,深圳,217,SUV,11.78-13.78,新能源,12.78,1
汉,蚌埠,16,中大型车,16.58-25.98,新能源,21.28,1
捷途自由者,贵阳,55,SUV,12.49-15.49,燃油车,13.99,0
传祺GS4,石家庄,44,SUV,11.58-12.68,燃油车,12.129999999999999,0
皓瀚,长春,11,SUV,8.99-13.69,燃油车,11.34,0
小蚂蚁,临沂,17,微型车,5.49-7.69,燃油车,6.59,0
元UP,渭南,17,SUV,9.68-11.98,新能源,10.83,1
途观L,鹰潭,11,SUV,18.68-26.68,燃油车,22.68,0
捷途X90,红河,18,SUV,13.99-17.29,燃油车,15.64,0
凯迪拉克XT5,济南,29,SUV,35.27-45.99,燃油车,40.63,0
